Species ID,Kingdom,Phylum,Class,Order,Family,Genus,Species,Authority,Infraspecific rank,Infraspecific name,Infraspecific authority,Stock/subpopulation,Synonyms,Common names (Eng),Common names (Fre),Common names (Spa),Red List status,Red List criteria,Red List criteria version,Year assessed,Population trend,Petitioned
22678559,ANIMALIA,CHORDATA,AVES,GALLIFORMES,MEGAPODIIDAE,Aepypodius,bruijnii,"(Oustalet, 1880)",,,,,"","Waigeo Brush-turkey, Waigeo Brush-turkey, Waigeo Brushturkey",,,EN,"B1ab(ii,iii,v)+2ab(ii,iii,v); C2a(ii)",3.1,2016,decreasing,N
22728583,ANIMALIA,CHORDATA,AVES,CAPRIMULGIFORMES,APODIDAE,Aerodramus,bartschi,"(Mearns, 1909)",,,,,Aerodramus bartschi subspecies bartschi|Collocalia bartschi,Mariana Swiftlet,,,EN,A2e+3e+4e,3.1,2016,decreasing,N
22718068,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,NECTARINIIDAE,Aethopyga,duyvenbodei,"(Schlegel, 1871)",,,,,"","Elegant Sunbird, Sanghir Sunbird",,,EN,"B1ab(i,ii,iii,iv,v)",3.1,2016,decreasing,N
60119,ANIMALIA,CHORDATA,CHONDRICHTHYES,MYLIOBATIFORMES,AETOBATIDAE,Aetobatus,flagellum,"(Bloch & Schneider, 1801)",,,,,Raja flagellum  ,Longheaded Eagle Ray,,,EN,A2d+3d+4d,3.1,2006,decreasing,N
60120,ANIMALIA,CHORDATA,CHONDRICHTHYES,MYLIOBATIFORMES,MYLIOBATIDAE,Aetomylaeus,maculatus,"(Gray, 1834)",,,,,Aetomylaeus milvus  |Myliobatus maculatus  ,Mottled Eagle Ray,,,EN,A2d+3d+4d,3.1,2006,decreasing,N
60121,ANIMALIA,CHORDATA,CHONDRICHTHYES,MYLIOBATIFORMES,MYLIOBATIDAE,Aetomylaeus,vespertilio,"(Bleeker, 1852)",,,,,Aetomylaeus reticulates  |Myliobatis vespertilio  ,"Ornate Eagle Ray, Reticulate Eagle Ray",,,EN,A2d,3.1,2016,decreasing,N
56057,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,HYPEROLIIDAE,Afrixalus,clarkei,"Largen, 1974",,,,,Afrixalus clarkeorum,Clarke's Banana Frog,,,EN,B1ab(iii),3.1,2013,unknown,N
136149,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,HYPEROLIIDAE,Afrixalus,dorsimaculatus,"(Ahl, 1930)",,,,,Megalixalus dorsimaculatus,,,,EN,B1ab(iii),3.1,2016,decreasing,N
56065,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,HYPEROLIIDAE,Afrixalus,knysnae,"(Loveridge, 1954)",,,,,Afrixalus brachycnemis knysnae|Hyperolius knysnae,"Knysna Leaf-folding Frog, Knysna Banana Frog, Knysna Spiny Reed Frog",,,EN,"B1ab(i,ii,iii,v)+2ab(i,ii,iii,v)",3.1,2016,decreasing,N
56066,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,HYPEROLIIDAE,Afrixalus,lacteus,"Perret, 1976",,,,,"",Cameroon Banana Frog ,,,EN,"B1ab(i,iii)",3.1,2004,decreasing,N
178405,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,TYPHLOPIDAE,Afrotyphlops,gierrai,"(Mocquard, 1897)",,,,,Rhinotyphlops gierrai  |Typhlops gierrai  ,"Gierra's Blind Snake, Usambara Spotted Worm Snake",,,EN,B1ab(iii),3.1,2010,unknown,N
55288,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,PHYLLOMEDUSIDAE,Agalychnis,annae,"(Duellman, 1963)",,,,,Phyllomedusa  annae ,"Blue-sided Treefrog, Orange-eyed Tree Frog",,,EN,B1ab(iii),3.1,2014,stable,N
22724196,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,ICTERIDAE,Agelaius,tricolor,"(Audubon, 1837)",,,,,"","Tricolored Blackbird, Tricoloured Blackbird",,,EN,A2bc+3bc+4bc,3.1,2016,decreasing,N
22724209,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,ICTERIDAE,Agelaius,xanthomus,"(Sclater, 1862)",,,,,"",Yellow-shouldered Blackbird,,,EN,"B2ab(iii,v)",3.1,2016,decreasing,N
22687794,ANIMALIA,CHORDATA,AVES,CAPRIMULGIFORMES,TROCHILIDAE,Aglaeactis,aliciae,"Salvin, 1896",,,,,"",Purple-backed Sunbeam,,Colibrí de Alicia,EN,C2a(ii),3.1,2016,decreasing,N
22733891,ANIMALIA,CHORDATA,AVES,CAPRIMULGIFORMES,TROCHILIDAE,Aglaiocercus,berlepschi,"(E. Hartert, 1898)",,,,,"",Venezuelan Sylph,,,EN,"B1ab(ii,iii,v)",3.1,2016,decreasing,N
84500429,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,MANTELLIDAE,Aglyptodactylus,australis,"Köhler, Glaw, Pabijan & Vences, 2015",,,,,"",,,,EN,B1ab(iii),3.1,2016,decreasing,N
172654,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,COLUBRIDAE,Ahaetulla,perroteti,"(Duméril, Bibron & Duméril, 1854)",,,,,Dryophis perroteti|Dryophis tropidococcyx|Psammophis perroteti,"Perrotet's Vine Snake, Western Ghats Bronzeback",,,EN,B1ab(iii),3.1,2013,unknown,N
714,ANIMALIA,CHORDATA,MAMMALIA,CARNIVORA,AILURIDAE,Ailurus,fulgens,"F.G. Cuvier, 1825",,,,,Ailurus styani,"Red Panda, Lesser Panda, Red Cat-bear","Panda roux, Panda éclatant, Petit panda","Panda Chico, Panda Rojo",EN,A2cde+3cde+4cde,3.1,2015,decreasing,N
176763,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,ELAPIDAE,Aipysurus,fuscus,"(Tschudi, 1837)",,,,,Stephanohydra fusca  ,"Dusky Sea Snake, Timor Reef Snake",Aipywure Brun,,EN,"A2ac; B2ab(iii,v)",3.1,2010,decreasing,N
19018221,ANIMALIA,CHORDATA,ACTINOPTERYGII,CYPRINIFORMES,CYPRINIDAE,Alburnus,attalus,"Özulug & Freyhof, 2007",,,,,"",Bak?r Shemaya,,,EN,"B2ab(i,ii,iii,iv)",3.1,2014,decreasing,N
19018242,ANIMALIA,CHORDATA,ACTINOPTERYGII,CYPRINIFORMES,CYPRINIDAE,Alburnus,baliki,"Bogutskaya, Küçük & Ünlü, 2000",,,,,"",Antalya Bleak,,,EN,"B2ab(i,ii,iii,iv,v)",3.1,2014,decreasing,N
19018407,ANIMALIA,CHORDATA,ACTINOPTERYGII,CYPRINIFORMES,CYPRINIDAE,Alburnus,carinatus,"Battalgil, 1941",,,,,Alburnus chalcoides subspecies carinatus,Manyas Shemaya,,,EN,"B2ab(i,ii,iii,iv,v)",3.1,2014,decreasing,N
135496,ANIMALIA,CHORDATA,ACTINOPTERYGII,CYPRINIFORMES,CYPRINIDAE,Alburnus,mentoides,"Kessler, 1859",,,,,"",,,,EN,"B1ab(ii,iii,v)+2ab(ii,iii,v)",3.1,2008,unknown,N
61370,ANIMALIA,CHORDATA,ACTINOPTERYGII,CYPRINIFORMES,CYPRINIDAE,Alburnus,qalilus,"Krupp, 1992",,,,,"",Syrian Spotted Bleak,,,EN,"B1ab(i,ii,iii,iv)+2ab(i,ii,iii,iv)",3.1,2014,decreasing,N
135590,ANIMALIA,CHORDATA,ACTINOPTERYGII,CYPRINIFORMES,CYPRINIDAE,Alburnus,sarmaticus,"Freyhof & Kottelat, 2007",,,,,"",,,,EN,B2ab(v),3.1,2011,unknown,N
135594,ANIMALIA,CHORDATA,ACTINOPTERYGII,CYPRINIFORMES,CYPRINIDAE,Alburnus,schischkovi,"(Drensky, 1943)",,,,,"",,,,EN,"B1ab(ii,iii,v)+2ab(ii,iii,v)",3.1,2008,unknown,N
135641,ANIMALIA,CHORDATA,ACTINOPTERYGII,CYPRINIFORMES,CYPRINIDAE,Alburnus,volviticus,"Freyhof & Kottelat, 2007",,,,,"",,,,EN,"B1ab(i,ii,iii,iv,v)+2ab(i,ii,iii,iv,v)",3.1,2008,decreasing,N
60452,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,CICHLIDAE,Alcolapia,alcalicus,"(Hilgendorf, 1905)",,,,,"",,,,EN,"B1ab(i,ii,iii)+2ab(i,ii,iii)",3.1,2006,unknown,N
182708,ANIMALIA,CHORDATA,ACTINOPTERYGII,CHARACIFORMES,ALESTIDAE,Alestes,bouboni,"Roman, 1973",,,,,"",,,,EN,"B1ab(ii,iii)+2ab(ii,iii)",3.1,2010,unknown,N
182881,ANIMALIA,CHORDATA,ACTINOPTERYGII,CHARACIFORMES,ALESTIDAE,Alestopetersius,nigropterus,"Poll, 1967",,,,,Hemigrammopetersius nigropterus  |Petersius hilgendorfi  |Petersius leopodianus  ,,,,EN,B1ab(v),3.1,2010,unknown,N
840,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,LACERTIDAE,Algyroides,marchi,"Valverde, 1958",,,,,"",Spanish Algyroides,,Lagartija de Valverde,EN,"B1ab(iii,iv)+2ab(iii,iv)",3.1,2009,decreasing,N
55100,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,AROMOBATIDAE,Allobates,kingsburyi,"(Boulenger, 1918)",,,,,Colostethus kingsburyi  ,,,,EN,B1ab(iii),3.1,2004,decreasing,N
55108,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,AROMOBATIDAE,Allobates,mandelorum,"(Schmidt, 1932)",,,,,Colostethus mandelorum  ,,,Sapito Ninera Oriental,EN,B1ab(iii),3.1,2004,decreasing,N
55141,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,AROMOBATIDAE,Allobates,ranoides,"(Boulenger, 1918)",,,,,Colostethus ranoides  |Colostethus ranoides  ,Llanos Rocket Frog ,,,EN,"B1ab(i,ii,iii,iv,v)+2ab(i,ii,iii,iv,v)",3.1,2010,decreasing,N
4227,ANIMALIA,CHORDATA,MAMMALIA,PRIMATES,CERCOPITHECIDAE,Allochrocebus,preussi,"(Matschie, 1898)",,,,,Cercopithecus preussi,"Preuss's Monkey, Preuss's Guenon",Cercopithèque de Preuss,"Cercopiteco de Preuss, Mono de Preuss",EN,A2cd,3.1,2016,decreasing,N
172762,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,PSEUDOXYRHOPHIIDAE,Alluaudina,mocquardi,"Angel, 1939",,,,,"",,,,EN,B1ab(iii),3.1,2011,unknown,N
22691076,ANIMALIA,CHORDATA,AVES,COLUMBIFORMES,COLUMBIDAE,Alopecoenas,hoedtii,"(Schlegel, 1871)",,,,,Gallicolumba hoedtii,"Wetar Ground-dove, Wetar Ground Dove, Wetar Ground-Dove",,,EN,A2cd+3cd+4cd,3.1,2016,decreasing,N
22691047,ANIMALIA,CHORDATA,AVES,COLUMBIFORMES,COLUMBIDAE,Alopecoenas,sanctaecrucis,"(Mayr, 1935)",,,,,Gallicolumba sanctaecrucis,"Santa Cruz Ground-dove, Santa Cruz Ground Dove, Santa Cruz Ground-Dove",,,EN,"B1ab(ii,iii,v)",3.1,2016,decreasing,N
135559,ANIMALIA,CHORDATA,ACTINOPTERYGII,CLUPEIFORMES,CLUPEIDAE,Alosa,volgensis,"(Berg, 1913)",,,,,"",,,,EN,"B2ab(iii,v)",3.1,2008,unknown,N
914,ANIMALIA,CHORDATA,MAMMALIA,PRIMATES,ATELIDAE,Alouatta,pigra,"Lawrence, 1933",,,,,"","Yucatán Black Howler Monkey, Mexican Black Howler Monkey, Guatemalan Black Howler Monkey, Guatemalan Howler, Guatemalan Howling Monkey, Lawrence's Howler Monkey, Guatemalan Black Howler, Black Howling Monkey",Hurleur Du Guatemala,"Araguato De Guatemala, Mono Aullador Negro, Saraguato, Saraguato Negro",EN,A4cd,3.1,2008,decreasing,N
